Nom;GPS
Lycée Jules Verne (Mondeville - 14);49.168,-0.32733
BTP CFA DE LOIR ET CHER (Blois - 41);47.6095,1.32048
Lycée Emmanuel d'Alzon (Nîmes - 30);43.8344,4.37175
Institut Catholique de Lyon (69);45.7514,4.82694
IMEA Vesoul (70);47.6405,6.15057
Lycée Le Likès (Quimper - 29);48.0004,-4.10193
CFA DU BATIMENT ET DES TRAVAUX PUBLICS (Clermont-Ferrand - 63);45.7685,3.11262
Lycée professionnel Jean Albert Gregoire (Soyaux - 16);45.6299,0.2178
Lycée Nicéphore Niepce (Chalon-sur-Saône - 71);46.7874,4.83813
CFA du bâtiment et travaux publics Georges Boché (Massiac - 15);45.2612,3.1775
Lycée La Martinière Duchère (Lyon 9e  Arrondissement - 69);45.7855,4.79556
Lycée Blaise Pascal (Colmar - 68);48.0692,7.33684
Lycée Jean De Prades (Castelsarrasin - 82);44.0329,1.12267
Lycée Ferdinand Buisson (Voiron - 38);45.3616,5.60061
Lycée Saint-Louis (Crest - 26);44.7246,5.0265
Lycée Francois Arago (Reims - 51);49.2292,4.00632
Lycée professionnel Des Metiers Du Batiment (Felletin - 23);45.8893,2.17728
Lycée St Laurent La Paix Notre Dame (Lagny-sur-Marne - 77);48.8733,2.70865
Lycée Pierre_Marie THEAS (Montauban - 82);44.0005,1.36097
Lycée professionnel Nicolas Louis Vauquelin (Paris 13e  Arrondissement - 75);48.8221,2.37561
Lycée Laurent de Lavoisier (Mulhouse - 68);47.7547,7.32587
BTP CFA Charente-Maritime (Saintes - 17);45.7422,-0.66542
CFA JEAN ZAY (Jarny - 54);49.1579,5.87721
CFA La Germinière (Rouillon - 72);48.0118,0.12405
Lycée hôtelier RENOUVEAU (Saint-Genest-Lerpt - 42);45.4525,4.3304
Lycée Jean Moulin (Roubaix - 59);50.6851,3.17247
Lycée de Bois D'Olive (Saint-Pierre - 974);-21.2983,55.4575
Lycée professionnel de St Henri (Marseille 16e  Arrondissement - 13);43.3658,5.3396
Lycée des Iles Sous Le Vent (Uturoa - 987);-16.8164,-151.455
Lycée Emile Zola (Aix-en-Provence - 13);43.5112,5.44468
Université de Mulhouse - Site de Colmar - Faculté de marketing et d'agrosciences (68);48.0777,7.36936
Université de Lille (59);50.61073,3.14268
Lycée Victor Hugo (Marseille  3e  Arrondissement - 13);43.3047,5.37969
Lycée Jean Zay (Thiers - 63);45.8626,3.5295
Lycée professionnel hôtelier Notre Dame (Saint-Méen-le-Grand - 35);48.1904,-2.18737
CFA Santé et Sciences de la Vie (Bétheny - 51);49.2724,4.04477
