Nom;GPS
Lycée Jean Prouve (Lomme - 59);50.6507,2.99656
EIL Côte d'Opale (Calais - 62);50.9526,1.878
I.U.T. de Valenciennes - Site de Maubeuge (59);50.283,3.93554
I.U.T. de Valenciennes - Site de Cambrai (59);50.1905,3.24332
Lycée Felix Faure (Beauvais - 60);49.4348,2.08967
Lycée Jean Rostand (Chantilly - 60);49.1817,2.46291
Lycée Pierre d'Ailly (Compiègne - 60);49.4064,2.83304
Lycée Mireille Grenet (Compiègne - 60);49.4019,2.81765
Lycée Jules Uhry (Creil - 60);49.2574,2.47414
Lycée Général et Technologique Jean-Paul II (Compiègne - 60);49.4045,2.83216
Lycée Francois Truffaut (Beauvais - 60);49.4236,2.0848
Lycée Hugues Capet (Senlis - 60);49.1932,2.56956
Université d'Amiens - Antenne de Beauvais (60);49.4312,2.08925
Lycée Alain (Alençon - 61);48.4389,0.08098
Lycée Jean Guehenno (Flers - 61);48.7455,-0.55283
Lycée Saint Thomas D'Aquin (Flers - 61);48.7535,-0.5719
Lycée agricole Auguste Loutreuil (Sées - 61);48.5939,0.17104
IUT GRAND OUEST NORMANDIE - Pôle d'Alençon (Damigny - 61);48.4476,0.07322
GAMBETTA CARNOT (Arras - 62);50.2877,2.77706
Lycée Edouard Branly (Boulogne-sur-Mer - 62);50.7203,1.61733
Lycée Carnot (Bruay-la-Buissière - 62);50.48,2.54426
Lycée Fernand Darchicourt (Hénin-Beaumont - 62);50.4113,2.95994
Lycée Louis Pasteur (Hénin-Beaumont - 62);50.4201,2.94728
Lycée Henri Darras (Liévin - 62);50.4129,2.76764
Lycée Eugene Woillez (Montreuil - 62);50.4647,1.76602
Lycée Guy Mollet (Arras - 62);50.2804,2.79577
Lycée professionnel Alain Savary (Arras - 62);50.2837,2.74785
Lycée Saint Pierre (Calais - 62);50.9435,1.85521
Lycée Saint Joseph (Saint-Martin-Boulogne - 62);50.736,1.62276
I.U.T. de Béthune (62);50.5185,2.65779
Lycée Blaise Pascal (Longuenesse - 62);50.74,2.255
Lycée Mariette (Boulogne-sur-Mer - 62);50.7323,1.61225
I.U.T LITTORAL (CALAIS) (62);50.9507,1.88323
Lycée professionnel Henri Senez (Hénin-Beaumont - 62);50.4062,2.96223
Lycée Marguerite Yourcenar (Beuvry - 62);50.5204,2.66597
Université d'Artois - Site d'Arras (62);50.2836,2.79225
Lycée Vauban (Aire-sur-la-Lys - 62);50.6343,2.40671
I.U.T. de Lens (62);50.4381,2.80814
Lycée Léonard de Vinci (Calais - 62);50.9536,1.88726
Lycée Sidoine Apollinaire (Clermont-Ferrand - 63);45.7823,3.0866
LEGTPA Louis Pasteur (Clermont-Marmilhat) (Lempdes - 63);45.7779,3.17659
I.U.T. de Clermont-Ferrand (Aubière - 63);45.7508,3.11078
Lycée Sévigné Saint-Louis (Issoire - 63);45.5407,3.24824
Lycée Godefroy De Bouillon (Clermont-Ferrand - 63);45.7801,3.09279
Lycée Fenelon (Clermont-Ferrand - 63);45.7713,3.09038
Institution Saint Alyre (Clermont-Ferrand - 63);45.7835,3.08183
LPA de Rochefort-Montagne (63);45.6855,2.80246
Lycée Cantau (Anglet - 64);43.4744,-1.51172
Lycée Louis De Foix (Bayonne - 64);43.4825,-1.47505
Lycée Louis Barthou (Pau - 64);43.2962,-0.36446
Lycée Saint-Cricq (Pau - 64);43.29849,-0.35947
Lycée Immaculée Conception Beau-Frêne (Pau - 64);43.3051,-0.37816
Lycée agricole de Pau-Montardon (64);43.3685,-0.34673
Université de Pau et des Pays de l'Adour (64);43.3114,-0.36421
Lycée professionnel Agricole Armand DAVID (Hasparren - 64);43.381,-1.30485
Institut Agricole Secondaire Jean Errecart (Saint-Palais - 64);43.3275,-1.02601
Lycée professionnel Agricole Saint Christophe (Saint-Pée-sur-Nivelle - 64);43.3576,-1.54882
Université de Pau et des Pays de l'Adour - Campus de Bayonne (64);43.4817,-1.48681
Lycée des Métiers - Hôtelier et de Tourisme (Biarritz - 64);43.4624,-1.55229
I.U.T des Pays de l'Adour (Pau - 64);43.3135,-0.36594
CPBx (ENSGTI) (Pau - 64);43.32,-0.3639
Université de Pau et des Pays de l'Adour - Campus d'Anglet (64);43.4793,-1.50877
CPBx (ESTIA) (Bayonne - 64);43.4462,-1.55389
Lycée Pradeau la Sède-St Pierre (Tarbes - 65);43.228,0.05799
L.E.G.T.A. Jean Monnet (Vic-en-Bigorre - 65);43.386,0.05442
Lycée Jean Lurcat (Perpignan - 66);42.6923,2.9089
Lycée Pablo Picasso (Perpignan - 66);42.6972,2.9264
Lycée Notre-Dame De Bon Secours (Perpignan - 66);42.6917,2.88353
LYCEE POLYVALENT CHRISTIAN BOURQUIN (Argelès-sur-Mer - 66);42.5462,3.02291
Lycée Aristide Maillol (Perpignan - 66);42.7176,2.88618
Lycée Jean Monnet (Strasbourg - 67);48.5635,7.76987
Lycée Fustel De Coulanges (Strasbourg - 67);48.5734,7.75211
Lycée Kléber (Strasbourg - 67);48.5942,7.75706
Lycée Jean Rostand (Strasbourg - 67);48.5821,7.76295
Lycée Louis Couffignal (Strasbourg - 67);48.5619,7.74905
Lycée des métiers René Cassin (Strasbourg - 67);48.5826,7.77046
Collège Episcopal St Etienne (Strasbourg - 67);48.5832,7.75531
Lycée des Métiers Sainte Clotilde (Strasbourg - 67);48.5875,7.77243
Lycée professionnel agricole (Erstein - 67);48.4207,7.64809
GRETA-CFA 49 (Angers - 49);47.4635,-0.55507
CFAI AFPI Pays de la Loire / Pôle Formation PDL-UIMM - Nantes (44);47.2538,-1.52711
Université de la Réunion - Le Tampon (974);-21.2698,55.507
Lycée Victor Louis (Talence - 33);44.8017,-0.59283
CFA CCIR FERRANDI Paris (Paris  6e  Arrondissement - 75);48.84738,2.32547
CREPS de Poitiers - Antenne de Limoges (87);45.8448,1.24691
CFAI-Valenciennes (59);50.3721,3.51725
MAISON FAMILIALE RURALE (Pontonx-sur-l'Adour - 40);43.78953,-0.92333
INSTITUT FORM. ERGOTHERAPIE (Toulouse - 31);43.6016,1.4043
Université d'Artois - Site de Lens (62);50.434,2.82362
Département universitaire de sciences d'Agen (47);44.1856,0.62429
Université de Bourgogne - site de Nevers (58);46.99144,3.14279
Aix-Marseille Université - Site de Marseille Timone (Marseille  5e  Arrondissement - 13);43.2905,5.40023
Unité de Formation et de Recherche des Sciences Médicales Université de Rennes 1 (35);48.3506,-1.19603
Unité de formation et de recherche faculté de médecine - Université de Paris (Paris  6e  Arrondissement - 75);48.85083,2.34136
EESTS - ECOLE EUROPEENNE SUPERIEURE EN TRAVAIL SOCIAL D'AVION (62);50.3985,2.83252
Université de Perpignan - Antenne de Narbonne (11);43.1838,3.02256
CFA BATIMENT AFO-BTP (Montigny-lès-Metz - 57);49.0865,6.16981
Lycée professionnel Jean Monnet (Foulayronnes - 47);44.2323,0.64156
Université de Rouen Normandie - Campus Martainville Rouen - UFR Santé (76);49.438,1.10831
Lycée Jeanne D'Arc (Cessy - 01);46.3161,6.06685
Lycée Jehanne De France (Lyon 9e  Arrondissement - 69);45.7694,4.8036
CFAI FORMAVENIR ANT ANNECY (Annecy-le-Vieux - 74);45.9288,6.16917
Lycée Sainte Croix des Neiges (Abondance - 74);46.2986,6.78951
École supérieure d'art et design Grenoble-Valence - Site de Valence (26);44.9298,4.92625
Lycée professionnel Agricole de Saint-Maximin-la-Sainte-Baume (83);43.4581,5.86051
Institut National du Patrimoine (département des restaurateurs) (Aubervilliers - 93);48.91144,2.39147
Institut Régional du Travail Social de Perpignan (66);42.69408,2.92462
Université Paris 13 - Antenne de Bobigny (93);48.916,2.42229
Ecole de management de Normandie - Campus d'Oxford (Grande-Bretagne);51.75,-1.26646
CREPS de Dijon - Antenne de Besançon (25);47.1897,5.99849
Toulouse Business School - Campus de Barcelone (BARCELONA - Espagne);41.3888,2.17516
Campus de Bourg-en-Bresse - Université Lyon 3 (01);46.2082,5.21965
Lycée professionnel Jean Guehenno (Fougères - 35);48.3425,-1.19982
MFREO de Saint Etienne (42);45.4185,4.4273
L.E.G.T.A. Villefranche de Rouergue (12);44.3528,2.01916
CFA Agricole de la Vienne-Site de Venours (Rouillé - 86);46.4067,0.07481
Université Polytechnique Hauts-de-France - Site de Cambrai (59);50.1894,3.2449
Lycée professionnel La Fontaine (Faverges-Seythenex - 74);45.7527,6.30182
INSTITUT DES SCIENCES ET TECHNIQUES DE LA READAPTATION UNIVERSITE LYON 1 (Lyon 8e  Arrondissement - 69);45.74148,4.88109
Lycée professionnel Maurice Genevoix (Marignane - 13);43.4135,5.20471
Lycée Professionnel Val de Cher (Saint-Aignan - 41);47.2662,1.37149
Lycée professionnel Honore Baradat (Pau - 64);43.3169,-0.35571
CUFR Centre Universitaire de Mayotte (Dembeni - 976);-12.8424,45.1857
Institut Catholique de Lille - Faculté des Lettres et Sciences Humaines (59);50.6326,3.04654
Externat Saint Joseph de Cluny (Cayenne - 973);4.94008,-52.3323
Université de Paris-Saclay - Campus de Versailles (78);48.8105,2.14873
Antenne de CFA - Ferrandi Paris Campus Saint-Gratien (95);48.96521,2.28265
Université Paris-Saclay, Campus d'Orsay (91);48.7015,2.17978
MAISON FAMILIALE RURALE DE LA GUADELOUPE-Baie-Mahault (971);16.2457,-61.6062
Lycée professionnel agricole Viticole (Orange - 84);44.1027,4.80267
Lycée professionnel Agricole Le Buat (Maule - 78);48.9076,1.8452
Université de Montpellier, Antenne de Nîmes (30);43.8212,4.32081
CFAPAG (Les Abymes - 971);16.2686,-61.5138
ARIFTS PAYS DE LA LOIRE - ANGERS (49);47.4738,-0.60279
ETSUP (Paris 14e  Arrondissement - 75);48.822,2.33405
Lycée agricole de Saint-Cyran-du-Jambot (36);47.0175,1.13758
Université du littoral - Site de Boulogne-sur-Mer (62);50.7264,1.60472
Ecole nationale supérieure de création industrielle - Les ateliers (Paris 11e  Arrondissement - 75);48.85844,2.36917
Conservatoire National Supérieur de Musique et de Danse de Paris (Paris 19e  Arrondissement - 75);48.88895,2.39094
IET - Institut de l'environnement et des technologies (Lyon 9e  Arrondissement - 69);45.77007,4.80642
ISO - Institut Supérieur d'Optique (Bordeaux - 33);44.82991,-0.55644
Institut de Formation en Ergothérapie de Berck-sur-Mer - Site de LOOS (59);50.6026,3.04484
Institut Supérieur d'Optique (Nancy - 54);48.6879,6.17894
Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers (Paris  3e  Arrondissement - 75);48.8667,2.35556
IFSI Croix Rouge Française Nîmes (30);43.8114,4.37187
Lycée Emiland Gauthey (Chalon-sur-Saône - 71);46.7841,4.8576
Lycée professionnel des métiers Francois Mitterrand (Château-Chinon (Ville) - 58);47.0602,3.93829
Lycée Louis Thuillier (Amiens - 80);49.8746,2.29673
Lycée Fenelon (La Rochelle - 17);46.1656,-1.14942
I.M.C. (Paris  1er Arrondissement - 75);48.8586,2.34716
ISEN Ouest Caen Cycle biologie, sciences et technologies (14);49.18218,-0.36851
ECAM Engineering / ECAM Lyon ( Lyon 5e Arrondissement) (69);45.7645,4.8253
Ingénieur UniLaSalle, I-SAFE, International Sustainable Agribusiness & Food Engineering / Rouen (Mont-Saint-Aignan) (76);49.4673,1.07273
Ingénieur UniLaSalle / Beauvais (60);49.4599,2.06824
CFA Intelligence Apprentie - Site Saint-Nazaire (44);47.2735,-2.21385
CFA agricole public des Hauts-de-France (Le Quesnoy - 59);50.245,3.64965
CFAI DE L'AFIL Loire-Drôme-Ardèche - site de Valence (26);44.9055,4.90319
ECAM-EPMI-Ingénieur Généraliste / Cergy-Pontoise (95);49.0316,2.07517
CFA Inst. de formation pharmacie et santé (Saint-Laurent-du-Var - 06);43.6695,7.1939
HEI Lille Cycle préparatoire ADIMAKER - Campus Lille / Bordeaux / La Réunion (59);44.83218,-0.57992
ISEN Lille Cycle préparatoire international - Campus Lille, Lyon ou Bordeaux (Lille) (59);44.83218,-0.57992
ISEN Lille Cycle préparatoire ADIMAKER - Campus Lille / Bordeaux / La Réunion (59);-21.33822,55.47992
Lycée professionnel Reaumur (Poitiers - 86);46.581,0.3695
Organisme de formation - CFA GPEI Antibes (06);43.60148,7.08583
CFA INDUSTRIE - ANTENNE DE REIGNAC (33);45.2378,-0.51359
Lycée professionnel St Vincent De Paul (Bordeaux - 33);44.82539,-0.57588
Lycée professionnel Bel Orme (Bordeaux - 33);44.8498,-0.59419
Lycée professionnel privé St Vincent De Paul (Billère - 64);43.3061,-0.38217
CFA METIERS DE LA MANUTENTION (Noisiel - 77);48.8507,2.62535
Lycée professionnel Louis Armand (Yerres - 91);48.71322,2.48074
Lycée professionnel Turquetil (Paris 11e  Arrondissement - 75);48.8521,2.39269
Ecole technique privée d'esthétique ESTHER MARIO (Toulouse - 31);43.5819,1.44939
Organisme de formation-Centre de formation d'apprentis Institut de formation et de conseil adaptés aux entreprises Cergy (95);49.0317,2.07657
CFA INDUSTRIE - ANTENNE DE PERIGUEUX (Coulounieix-Chamiers - 24);45.1432,0.69849
CFA Industriel de l'Eure (Evreux - 27);48.9979,1.14664
Lycée Albert EINSTEIN (Bagnols-sur-Cèze - 30);44.1607,4.61164
I.F.R.I.A. (Orléans - 45);47.9181,1.92422
Alternance Touraine (Tours - 37);47.4147,0.68802
Lycée Edouard Belin (Vesoul - 70);47.6326,6.16347
Lycée LAVOISIER (Porcheville - 78);48.9754,1.76731
Lycée Napoleon (L'Aigle - 61);48.7579,0.63694
CAMPUS-CCI Eure-et-Loir (Chartres - 28);48.45229,1.5273
CFA Interprofessionnel du Sud Aveyron (Saint-Affrique - 12);43.9578,2.8421
ORGANISME DE FORMATION-CENTRE DE FORMATION D'APPRENTIS DE ALTERNANCE LIMOUSIN LIMOGES (87);45.8441,1.29575
CAMPUS PRO (Lille - 59);50.6241,3.10343
Ecole Spéciale d'Architecture (Paris 14e  Arrondissement - 75);48.8375,2.33072
Formation par alternance Campus pro Teteghem (Téteghem-Coudekerque-Village - 59);51.0333,2.41839
ALESIA FORMATION (Marcq-en-Baroeul - 59);50.6588,3.08318
CTR DE FORMATION D APPRENTIS A.DE GRANGE INST.PROF.ST LOUIS (Morbecque - 59);50.643,2.63927
CFA Régional Hauts de France - UFA STARTEVO - Site de Saint-Martin-Boulogne (Boulogne-sur-Mer - 62);50.71684,1.61331
Lycée professionnel Emile Baudot (Wassy - 52);48.4995,4.94875
CFA CMA 35 (Bruz - 35);48.0245,-1.74715
Ecole santé et juridique (Neuilly-sur-Seine - 92);48.88362,2.26313
Groupe alternance Rhone-Alpes  (Fontaine - 38);45.19659,5.67271
Lycée Notre Dame De Fidélité (Caen - 14);49.2109,-0.37346
Groupe Formation Systèmes (Chamalières - 63);45.7746,3.06234
CFA Espace réussite (Le Puy-en-Velay - 43);45.0505,3.88474
Organisme de formation-Centre de Formation d'Apprentis d'Alternance Pro de Riom (63);45.897,3.10781
Organisme de formation-Centre de Formation d'Apprentis de DEA Formation du Puy-En-Velay (Le Puy-en-Velay - 43);45.04579,3.89462
Lycée Jeanne Perrimond (Marseille  7e  Arrondissement - 13);43.2795,5.36825
AFTRAL (Semoy - 45);47.92439,1.95369
CCI Sud Formation - CFA LR - Ets de Perpignan (66);42.6746,2.85036
Lycée professionnel Charles De Bovelles (Noyon - 60);49.58279,3.01724
Alternance Rhône-Alpes (Villeurbanne - 69);45.76004,4.88771
Lycée Providence Sainte-Thérèse (Rouen - 76);49.4449,1.08061
CFA IFRIA Henri-Avril Lamballe (Lamballe-Armor - 22);48.4656,-2.52686
Lycée professionnel Estaque (L') (Marseille 16e  Arrondissement - 13);43.3627,5.32532
Sup'Biotech Lyon (Lyon 3e  Arrondissement - 69);45.75713,4.8569
Ecole tech sup privée AFIP Formations (Villeurbanne - 69);45.7607,4.88923
Institut Sonnenberg (Carspach - 68);47.6113,7.21188
ALTERNANCE SEVRES ET VIENNE (Niort - 79);46.3187,-0.46777
Lycée ORT STRASBOURG (67);48.5906,7.7508
Lycée Pardailhan (Auch - 32);43.6547,0.57491
Lycée Marie Louise Dissard Françoise (Tournefeuille - 31);43.5759,1.31486
Université de Corte (20);42.2987,9.15298
Lycée Louis Aragon (Héricourt - 70);47.5743,6.76109
Lycée Saint Paul (Besançon - 25);47.2456,6.03717
Institut National des Formations Notariales de Montpellier (34);43.6419,3.83749
Pôle formation UIMM Bourgogne 21-71 Site Chalon (Chalon-sur-Saône - 71);46.77734,4.84654
Lycée professionnel Jean Moulin (Saint-Brieuc - 22);48.5238,-2.7884
Institution Saint Jean -Lycée d'enseignement général et technologique privé (Colmar - 68);48.0734,7.36417
Lycée De La Salle (Metz - 57);49.1047,6.19359
INSTITUT NATIONAL DES FORMATIONS NOTARIALES DE LYON (Lyon 7e  Arrondissement - 69);45.7472,4.85975
IDELCA Business School (Jacou - 34);43.6567,3.91005
INSTITUT NATIONAL DES FORMATIONS NOTARIALES - Site de Nantes (44);47.2256,-1.54149
IFRTS Corse (Bastia - 20);42.7048,9.45068
Lycée Gay Lussac (Chauny - 02);49.6147,3.22187
CFA - IFA DU TARN (Albi - 81);43.9444,2.15868
SUP FORMATION (groupe IFIDE) (Nancy - 54);48.70482,6.14418
institut de formation à l'informatique pour le développement de l'entreprise et des collectivités Metz (57);49.11427,6.23254
Etabl sup tech privé LY FORMATION ECORIS (Lyon 7e  Arrondissement - 69);45.7265,4.83787
Lycée F.J. Armorin (Crest - 26);44.7314,5.01655
Institut des métiers du notariat (Aix-en-Provence - 13);43.5161,5.444
Lycée professionnel des Monts Du Lyonnais (Chazelles-sur-Lyon - 42);45.637,4.38694
Suptertiaire (Paris 10e  Arrondissement - 75);48.87527,2.35188
OF-CFA Centre d'apprentissage Alternance Champagne Ardenne TROYES (10);48.29378,4.07652
Institut des métiers du tertiaire - Groupe HOMNEO (Mulhouse - 68);47.7468,7.29956
organisme de formation-centre de formation d'apprentis IPCEM Bordeaux (33);44.8303,-0.55709
EURIDIS (Saint-Denis - 93);48.88106,2.36999
Ecole privée ECORIS (Annecy-le-Vieux - 74);45.9283,6.16729
Ecole supérieure privée (Chambéry - 73);45.5927,5.89374
CFA de la Chambre de Commerce et d'Industrie de l'Aisne (Laon - 02);49.5641,3.61989
CFA AFTRAL HDF - ISTELI (Institut Supérieur du Transport et de la Logistique Internationale) de LILLE / WASQUEHAL (59);50.65664,3.12788
Lycée St Dominique (Pau - 64);43.314,-0.37473
Antenne de Tourcoing le Virolois - CFA CMA Hauts-de-France (59);50.725,3.16207
ALTERNANCE SUD ATLANTIQUE - BORDEAUX (33);44.8841,-0.56713
Etablissement secondaire agricole technique privé (Giel-Courteilles - 61);48.75684,-0.19738
GRETA de la Guadeloupe (Les Abymes - 971);16.27009,-61.51466
Lycée professionnel La Source (Nogent-sur-Marne - 94);48.83,2.46544
Organisme de formation-Centre de Formation d'Apprentis d'Alternance Auvergne, Montluçon (03);46.3333,2.6
Lycée professionnel Saint Charles (Chauny - 02);49.6147,3.21201
CFA académique - UFA Marcel Sembat (Sotteville-lès-Rouen - 76);49.415,1.08515
CFA académique - UFA Schuman-Perret (Le Havre - 76);49.5156,0.16423
Lycée professionnel Clement Ader (Samatan - 32);43.4952,0.92991
Lycée Vincent Auriol (Revel - 31);43.456,2.01156
Lycée Saint Luc Cambrai (59);50.1701,3.229
Lycée Jean Moulin (Châteaulin - 29);48.1947,-4.08899
Lycée Pierre Corneille (La Celle-Saint-Cloud - 78);48.8498,2.1325
Lycée professionnel Marie Marvingt (Tomblaine - 54);48.69603,6.2168
Lycée professionnel des métiers du bâtiment - Urbain Vitry (Toulouse - 31);43.6396,1.44037
Lycée professionnel Hélène Boucher (Somain - 59);50.3735,3.28072
Centre de formation continue Groupe Formation Systemes Pro - Systèmes (Lyon 9e  Arrondissement - 69);45.7786,4.79987
Lycée professionnel Georges Cisson (Toulon - 83);43.1297,5.9614
ANTENNE DE CFA CCI FORMATION ANNECY (74);45.909,6.12554
Lycée Boissy D'Anglas (Annonay - 07);45.2477,4.67136
Lycée professionnel Gustave Eiffel (Gannat - 03);46.0859,3.19786
CNED (Grenoble - 38);45.1607,5.73339
Lycée professionnel Francis De Croisset (Grasse - 06);43.6523,6.93291
Université de Montpellier, Antenne de Carcassonne (11);43.2086,2.36988
I.U.T d'Allier - Antenne de Vichy (03);46.1198,3.42531
Lycée Francois Couperin (Fontainebleau - 77);48.3983,2.68749
Lycée Galilée (Cergy - 95);49.0446,2.03069
LEAP AGRICULTURE ET TERRITOIRE IS4A (Laxou - 54);48.6968,6.13598
Institut Saint Vincent De Paul (Loos - 59);50.6178,3.00467
EFREI Paris (Villejuif - 94);48.7897,2.36385
Lycée de la Montagne (Valdeblore - 06);44.07,7.16797
CFA BTP 66 (Perpignan - 66);42.6676,2.90838
IRTS ANTENNE DE MAYOTTE (Mamoudzou - 976);-12.7719,45.2235
CFA PROMOTRANS (Gonesse - 95);48.9865,2.44977
CTR FORMATION APPRENTIS AGRIC CFA AGRICULTURES TERRITOIRES (Haroué - 54);48.4784,6.17547
Lycée des métiers d'Art (Saint-Quentin - 02);49.8638,3.30316
Lycée des métiers Saint Vincent de Paul (Soissons - 02);49.3754,3.33563
Unité de formation en apprentissage Lycée Vincent de Paul site de Courtine (CFARCT (Avignon - 84);43.92943,4.78541
Lycée Etienne-Jules Marey (Boulogne-Billancourt - 92);48.8324,2.23343
Lycée Gabriel Deshayes (Saint-Gildas-des-Bois - 44);47.5184,-2.03872
CESI Ecole d'ingénieurs - Caen (Epron - 14);49.2157,-0.36615
CESI Ecole d'ingénieurs - La Couronne - Angoulême (16);45.6292,0.12106
CESI Ecole d'ingénieurs - Orléans (45);47.8452,1.94062
Institut Social de Lille - Antenne de Maubeuge (59);50.27362,3.97713
Ecole Santé Social Sud-Est (Lyon 9e  Arrondissement - 69);45.7799,4.80549
APRADIS - Site Beauvais (60);49.43633,2.12738
Lycée agricole Val De Sarthe (Sablé-sur-Sarthe - 72);47.8386,-0.30347
APRADIS - Site Amiens (80);49.88886,2.26271
CFA CECOF BERNARD PALISSY (Ambérieu-en-Bugey - 01);45.9629,5.33668
M F R E O ROUGEMONT (Tours - 37);47.4072,0.72446
IFSI CHU de Toulouse - Antenne de Saint-Gaudens - rentrée en septembre (31);43.6017,1.4038
C.F.T.S (Centre de Formation des Travailleurs Sociaux) (Les Abymes - 971);16.24989,-61.53179
I.F.S.I. du centre hospitalier du sud Seine-et-Marne (Fontainebleau) - rentrée en février (77);48.4249,2.74089
IFSI CHS du Rouvray Sotteville - rentrée en février (Sotteville-lès-Rouen - 76);49.4008,1.09022
IFSI Croix Rouge Française Bois Guillaume - rentrée en février (76);49.4817,1.10873
Lycée professionnel Ferdinand Fillod (Saint-Amour - 39);46.437,5.34431
ANNEXE CFA MECANIQUE AUTOMOBILE ET AERONAUTIQUE (Cruseilles - 74);46.037,6.11775
IFSI CGD13 - rentrée en septembre (Marseille 12e  Arrondissement - 13);43.2932,5.3602
Institut de travail social et de recherches sociales - Site de Montrouge (92);48.82063,2.31718
Institut de travail social et de recherches sociales - Site de Neuilly-sur-Marne (93);48.86637,2.5596
Lycée Polyvalent de Dembeni (976);-12.8355,45.174
Lycée Clement Ader (Tournan-en-Brie - 77);48.7439,2.74871
I.U.T du Creusot (Le Creusot - 71);46.807,4.41347
Lycée Joseph Gallieni (Toulouse - 31);43.573,1.42441
Lycée professionnel Saint Louis-Saint Bruno (Lyon 1er Arrondissement - 69);45.7721,4.82331
Lycée professionnel hôtelier Quercy Périgord (Souillac - 46);44.8949,1.4702
Lycée Hôtelier de l'Orléanais (Olivet - 45);47.8656,1.87959
CFA du Maine et Loire - site Angers le Fresne (49);47.4425,-0.58646
Lycée Rene Perrin (Ugine - 73);45.7509,6.41578
CCI Formation EESC (Laxou - 54);48.6843,6.15252
MFR (Morre - 25);47.2248,6.07777
CFAI-Saint-Martin-Boulogne (62);50.7261,1.64426
Lycée Theodore Aubanel (Avignon - 84);43.9524,4.81196
Lycée de l'Union (Fort-de-France - 972);14.622,-61.0781
UFA de CARPENTRAS du CFA Régional Agricole Public (84);44.0838,5.06504
CNAM Chalon (Chalon-sur-Saône - 71);46.77632,4.84611
CFA Startévo - Saint Omer (62);50.7494,2.277
Pôle Formation 58-89 (CFA industrie Nevers) (58);46.98532,3.12215
Lycée du Diadème - Te tara o mai'ao (Pirae - 987);-17.52905,-149.54874
Lycée professionnel St Joseph (Punaauia - 987);-17.6797,-149.407
Sciences Po Aix – Institut d'études politiques (Aix-en-Provence - 13);43.5312,5.4471
Sciences Po Lille – Institut d'études politiques (59);50.62811,3.06622
Sciences Po Bordeaux - Institut d'études politiques (Pessac - 33);44.7987,-0.61435
ESME Sudria Paris (Paris 15e  Arrondissement - 75);48.8397,2.30971
ESAIP Cycle préparatoire Angers (Saint-Barthélemy-d'Anjou - 49);47.464,-0.49729
ISEN Méditerranée Nîmes Cycle biologie, sciences et technologies (30);43.821,4.36884
ESDES LYON BUSINESS SCHOOL (Lyon 2e  Arrondissement - 69);45.7467,4.82584
CONSERVATOIRE NATIONAL SUPERIEUR DE MUSIQUE ET DE DANSE DE LYON (Lyon 9e  Arrondissement - 69);45.7696,4.81469
MFR Moirans - CFA FRMFREO (38);45.3215,5.56474
ESM BFC - École Supérieure de Musique Bourgogne-Franche-Comté (Dijon - 21);47.31896,5.04319
Haute école des arts du Rhin - Académie supérieure de musique de Strasbourg (67);48.57431,7.75599
PESMD - Pôle d’Enseignement Supérieur de la Musique et de la Danse de Bordeaux Nouvelle-Aquitaine (33);44.8293,-0.56937
Institut supérieur des arts de Toulouse (31);43.60033,1.44035
ISA (Lille - 59);50.6334,3.04737
IESEG School of Management - Lille (59);50.63554,3.04515
MFREO de Saligny-sur-Roudon (03);46.4672,3.75509
CESI Ecole d'ingénieurs - Brest (29);48.4065,-4.52152
ESSCA School of Management - Lyon (Lyon 7e  Arrondissement - 69);45.73289,4.8229
ESSCA School of Management - Bordeaux (33);44.84339,-0.57331
INSTITUT NATIONAL DE PODOLOGIE (Paris  1er Arrondissement - 75);48.86539,2.3353
Assas Formations Santé (Magny-les-Hameaux - 78);48.7472,2.07139
CFAI Lorraine - Site de Thaon les Vosges (Capavenir Vosges - 88);48.2506,6.41919
CFAI Lorraine - Site de Yutz (57);49.3505,6.17253
Ecole des métiers de l'accompagnement de la personne (Saint-Pierre - 974);-21.30331,55.45102
Toulouse Business School (31);43.57836,1.51216
NEOMA Business School - Campus de Reims (51);49.2389,4.0032
NEOMA Business School - Campus de Paris (Paris  9e  Arrondissement - 75);48.8779,2.32892
PSB Paris School of Business (Paris 13e  Arrondissement - 75);48.8254,2.36659
ESSCA School of Management - Paris (Boulogne-Billancourt - 92);48.84006,2.22519
ESSEC Business School (Cergy - 95);49.0339,2.07762
ISEN Méditerranée Nîmes Classe préparatoire PCSI (Lycée St Joseph - Pierre Rouge) (30);43.8212,4.36853
MFR de Berlencourt le Cauroy (62);50.27925,2.42437
Ecole européenne supérieure de l'image Poitiers (86);46.5789,0.34116
École supérieure d’art d’Avignon (84);43.92245,4.80643
Ecole nationale supérieure d'art et de design de Nancy (54);48.67495,6.17016
Ecole Supérieure de Design de Troyes (10);48.3025,4.08582
Lycée Catholique St Charles (Saint-Pierre - 974);-21.3382,55.4797
IESM - Institut d'Enseignement Supérieur de la Musique Europe et Méditerranée (Aix-en-Provence - 13);43.5257,5.43932
Institut Paul Bocuse (Ecully - 69);45.7771,4.76734
CFA de la Chataigneraie (Le Mesnil-Esnard - 76);49.4133,1.14618
Lycée Robert SCHUMAN (Chauny - 02);49.6305,3.19714
ESAL - École Supérieure d'Art de Lorraine - Site de Metz (57);49.1153,6.16989
École supérieure d'art et design Grenoble-Valence - Site de Grenoble (38);45.1865,5.72662
CFPPA d'AMIENS-PARACLET (Cottenchy - 80);49.8238,2.39159
