Pays;Population_pays;Superficie;Densite;Capitale;Population_capitale
Timor Leste;1154625;15007;76.93909508895848;Dili;150000
Turkmenistan;4940916;488100;10.122753534111862;Ashgabat;727700
Tunisia;10589025;163610;64.72113562740664;Tunis;693210
Tonga;122580;748;163.87700534759358;Nuku‘alofa;22400
Turkey;77804122;780580;99.67475723180199;Ankara;3517182
Trinidad and Tobago;1328019;5128;258.9740639625585;Port of Spain;49031
Tuvalu;10472;26;402.7692307692308;Funafuti;4492
Taiwan;22894384;35980;636.308615897721;Taipei;7871900
Tanzania;41892895;945087;44.32702491939895;Dodoma;180541
Ukraine;45415596;603700;75.22874937883054;Kyiv;2797553
Uganda;33398682;236040;141.49585663446874;Kampala;1353189
United States;310232863;9629091;32.218291736987425;Washington, D.C.;601723
Uruguay;3477000;176220;19.731018045624786;Montevideo;1270737
Uzbekistan;27865738;447400;62.283723737147966;Tashkent;1978028
Vatican;921;0.44;2093.181818181818;Vatican City;829
Saint Vincent and the Grenadines;104217;389;267.91002570694087;Kingstown;24518
Venezuela;27223228;912050;29.84839427662957;Caracas;3000000
British Virgin Islands;21730;153;142.0261437908497;Road Town;8449
U.S. Virgin Islands;108708;352;308.82954545454544;Charlotte Amalie;20000
Vietnam;89571130;329560;271.7900534045394;Hanoi;1431270
Vanuatu;221552;12200;18.16;Port-Vila;35901
Wallis and Futuna;16025;274;58.48540145985402;Mata-Utu;1200
Samoa;192001;2944;65.21773097826087;Apia;40407
Yemen;23495361;527970;44.50131825671913;Sanaa;1937451
Mayotte;159042;374;425.24598930481284;Mamoudzou;54831
South Africa;49000000;1219912;40.16683170589354;Pretoria;1619438
Zambia;13460305;752614;17.88473905614299;Lusaka;1267440
Zimbabwe;13061000;390580;33.44001228941574;Harare;1542813
