Id;Name;Latitude;Longitude;Country_ISO;Population
2239862;Malanje;-9.54015;16.34096;AO;87046
2240449;Luanda;-8.83682;13.23432;AO;2776168
2242001;Caxito;-8.57848;13.66425;AO;28224
2243271;Cabinda;-5.55;12.2;AO;66020
3346015;Sumbe;-11.20605;13.84371;AO;33277
3347019;Namibe;-15.19611;12.15222;AO;80149
3347353;Menongue;-14.6585;17.69099;AO;32203
3347719;Luena;-11.78333;19.91667;AO;21115
3347762;Lubango;-14.91717;13.4925;AO;102541
3347853;Longonjo;-12.90667;15.25333;AO;24346
3347939;Lobito;-12.3644;13.53601;AO;207932
3348078;Cuito;-12.38333;16.93333;AO;113624
3348313;Huambo;-12.77611;15.73917;AO;226145
3350246;Catumbela;-12.43002;13.54677;AO;16977
3350372;Catabola;-12.15;17.28333;AO;18855
3351014;Camacupa;-12.01667;17.48333;AO;19150
3351500;Caála;-12.8525;15.56056;AO;21205
3351663;Benguela;-12.57626;13.40547;AO;151226
3427213;Zárate;-34.09814;-59.02858;AR;88781
3427327;Wanda;-25.96879;-54.56285;AR;15529
3427387;Villa Ortúzar;-34.57973;-58.46829;AR;22500
3427388;Villa Ocampo;-28.48752;-59.35515;AR;19101
3427408;Villa Lugano;-34.67907;-58.47263;AR;114000
3427428;Villaguay;-31.8653;-59.02689;AR;32027
3427431;Villa Gesell;-37.26394;-56.97304;AR;23257
3427453;Villa de Mayo;-34.5108;-58.68059;AR;43405
3427687;Tortuguitas;-34.47513;-58.75367;AR;41390
3427761;Tigre;-34.42603;-58.57962;AR;31106
3427833;Tandil;-37.32167;-59.13316;AR;104325
3428068;San Vicente;-26.61667;-54.13333;AR;38247
3428071;Santo Tomé;-28.54939;-56.04077;AR;22634
3428359;Santa Elena;-30.94432;-59.78832;AR;18410
3428576;San Pedro;-33.67918;-59.66633;AR;47452
3428577;San Pedro;-26.62207;-54.10842;AR;23736
3428708;San Luis del Palmar;-27.5079;-58.55454;AR;15347
3428759;San Lorenzo;-28.13306;-58.76733;AR;47626
3428975;San Javier;-30.57781;-59.9317;AR;15606
3428992;San Isidro;-34.4721;-58.52708;AR;45190
3429403;Saladas;-28.25384;-58.62591;AR;18349
3429576;Retiro;-34.58333;-58.38333;AR;38635
3429577;Resistencia;-27.46056;-58.98389;AR;387158
3429594;Reconquista;-29.15;-59.65;AR;90184
3429652;Quilmes;-34.72904;-58.26374;AR;230000
3429732;Puerto Rico;-26.79598;-55.02402;AR;17491
3429777;Puerto Iguazú;-25.59912;-54.57355;AR;32038
3429786;Puerto Esperanza;-26.02267;-54.61356;AR;15579
3429790;Puerto Eldorado;-26.40843;-54.69463;AR;54189
3429886;Posadas;-27.36708;-55.89608;AR;323739
3429902;Pontevedra;-34.74785;-58.70072;AR;33515
3429949;Pirané;-25.73239;-59.10879;AR;19124
